1	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
2753	ses parrainages c' est une image à la fois originale et unique dans l' histoire de la droite en france on va parler ce soir vous l' aurez compris évidemment de cette bataille pour la présidence à l' ump c' est un duel hein sans véritable surprise entre jean françois copé	ses parrainages c' est une image à la fois originale et unique dans l' histoire de la droite en france on va parler ce soir vous l' aurez compris évidemment de cette bataille pour la présidence à l' ump c' est un duel un sans véritable surprise entre jean-françois <eps> copé	_
2754	et françois fillon on en parle ce soir c' est une bataille de chiffres une bataille de parrainages une bataille de personnalités c' est pas vraiment une bataille d' idées certains le déplorent on va en parler évidemment dans quelques instants et on parlera de nicolas sarkozy parce que il est le chouchou	et françois fillon on en parle ce soir c' est une bataille de chiffres une bataille de parrainages une bataille de personnalités c' est pas vraiment une bataille d' idées certains le déplore on va en parler évidemment dans quelques instants et on parlera de nicolas sarkozy parce que il est le chouchou	_
2755	des sympatisants dans les dans les sondages le sondage lh2 les sympatisants disent que c' est lui en deux mille dix sept qui sera là <eps> il <eps> reviendra peut être on va en parler évidemment dans quelques instants je vous indique ce site	des sympathisants dans les dans les sondages le sondage lh2 les sympathisants disent que c' est lui en deux milles dix sept qui sera là et il ne reviendra peut être on va en reparler évidemment dans quelques instants je vous dis que ceci	_
2756	lcp point fr et le jdd point fr sur lequel vous posez chaque soir vos questions et ce soir vous avez été nombreux et je fais monter le suspense à répondre à « qui des deux entre françois fillon et jean françois copé » je retourne la feuille	lcp point fr et le jdd point fr sur lequel vous poser chaque soir vos questions <eps> ce soir vous avez été nombreux et je suis montée le suspense à répondre un <eps> qui des deux entre françois fillon et jean-françois <eps> copé <eps> je retourne la feuille	_
2757	« est le le meilleur des deux » il y a un sondage jdd vous allez le découvrir dans quelques instants quatre invités sont avec moi d' abord jean leonetti bonsoir	et <eps> le le meilleur des deux <eps> il y a un sondage jdd vous allez le découvrir dans quelques instants quatre invités sont avec moi d' abord jan leonetti bonsoir	_
2758	bon(soir)	mais	_
2759	(mer)ci d' avoir répondu à notre invitation député ump ancien ministre en charge des affaires européennes vous appartenez vous avez créé ce courant humaniste on en parlera peut être et vous défendez et vous êtes aux côtés de françois fillon dans cette bataille on écoutera vos arguments	<eps> d' avoir répondu à notre invitation députée ump ancien ministre en charge des affaires européennes vous appartenez vous avez créé ce courant humanistes on en parlera peut-être <eps> et vous défendez et vous êtes au côté de françois fillon dans cette bataille on écoutera vos arguments	_
2760	merci d' être là face à vous franck riester bonsoir	merci d' être là face à vous franck riester bonsoir	_
2761	bons(oir)	bonsoir	_
2762	député ump de de seine et marne vous vous défendez jean françois copé je rappelle que vous avez été directeur de campagne aux élections européennes en en deux mille neuf merci d' être là <eps>	<eps> ump de seine-et-marne <eps> <eps> <eps> vous vous défendez jean-françois <eps> copé je rappelle que vous avez été directeur de campagne aux élections européennes en en deux milles neuf merci d' être là on est	_
2763	pour pour défendre évidemment votre candidat et puis avec nous sur ce plateau guillaume peltier bonsoir	pour pour défendre évidemment votre candidat et puis avec nous sur ce plateau guillaume peltier bonsoir	_
2764	secrétaire national à à l' ump vous lancez votre courant la droite forte et j(e) je vous cite « qui a fondation non négociable c' est le sarkozisme » on reviendra évidemment sur ce courant	nationale <eps> à <eps> l' ump vous lancez votre courant la droite forte et je je vous cite un qui a fondation non négociable c' est le sarkozysme <eps> on reviendra évidemment sur ce courant	_
2765	vous affichez une neutralité mais certains disent dans les couloirs quand on creuse un peu le sujet que vous vous êtes finalement plus proche de jean françois copé que de françois fillon on écoutera évidemment vos vos arguments <eps> je rappelle <eps> vous étiez le monsieur sondages <eps> dans cette campagne présidentielle	vous affichez une neutralité mais certains disent dans les couloirs quand on creuse un peu le sujet que vous vous êtes finalement plus proche de jean-françois <eps> copé que deux françois fillon on écoutera évidemment vos vos arguments hein je rappelle que vous essayez le monsieur sondage un dans cette campagne présidentielle	_
2766	aux côtés de nicolas sarkozy puis enfin avec nous christine clerc bonsoir	aux côtés de nicolas sarkozy puis enfin avec nous christine clerc bonsoir	_
2767	bon(soir)	soir	_
2768	(vou)s êtes journaliste éditorialiste on se souvient de votre carnet intime de nicolas sarkozy c' était en en deux mille neuf on écoutera votre point de vue parce qu' il se passe quand même quelque chose à droite c' est la première fois qu' il y a déjà un début de démocratisation pour	<eps> <eps> journaliste éditorialiste on se souvient de votre carnet intime de nicolas sarkozy c' était en en deux milles neuf on écoutera votre point de vue parce qu' il se passe quand même quelque chose à droite c' est la première fois qu' il y a déjà un début de démocratisation pour	_
2769	désigner nommer le président de ce parti parce que avant c' était voilà ça fait trente ans on dit un élu comme ça et qu' on connaît le nom du candidat <eps> <eps> ça faisait trente ans que ça durait là les choses semblent évoluer on va en parler dans quelques instants	désigné nommé le président de ce parti qu' <eps> avant c' était voilà <eps> <eps> trente ans <eps> dit un élu comme ça <eps> qu' on connaît le nom du candidat c' est ça faisait trente ans que ça durait la les choses semblent évoluer on va en parler dans quelques instants	_
2770	regardez ce ce sujet je vous présente mes mes sentinelles citoyennes juste après sujet de germain andrieux qui revient tout simplement sur cette bataille entre les les deux hommes sans compter quelques ténors qui ont essayé de jouer les trouble fêtes regardez ce sujet	regardez ce ce sujet je vous présente mes mes sentinelles citoyennes juste après sujet de germain andrieux qui revient tout simplement sur cette bataille entre les <eps> deux hommes sans compter quelques ténors qui ont essayé de jouer les trouble-fête <eps> regardez ce sujet	_
2771	jean françois copé et françois fillon côte à côte c' était début deux mille douze autrement dit il y a une éternité tous les deux sont aujourd'hui candidats <eps> pour la présidence du parti pour le moment	jean-françois <eps> copé et françois fillon côte à côte <eps> était début deux milles douze autrement dit il y a une éternité tous les deux sont aujourd' hui candidat pour la présidence du parti pour le moment	_
2772	mais pour être sur la ligne de départ une condition obligatoire sept mille neuf cent vingt quatre parrainages	mais pour être sur la ligne de départ une condition obligatoire sept mille neuf cents vingt quatre parrainages	_
2773	une formalité pour jean françois copé françois fillon ou encore xavier bertrand mais le troisième homme qualifié a finalement jeté l' éponge sans renoncer à deux mille dix sept	<eps> formalité pour jean-françois <eps> copé <eps> fillon <eps> encore xavier bertrand mais le troisième homme qualifié a finalement jeté l' éponge sans renoncer à deux milles dix sept	_
2774	je serai candidat à la primaire pour l' élection présidentielle deux mille dix sept	serait <eps> candidat à la primaire pour l' élection présidentielle deux milles dix sept	_
2775	et donc c' est la raison pour laquelle je ne me lance pas dans la compétition pour la présidence de l' ump	<eps> donc c' est la raison pour laquelle je ne me lance pas dans la compétition pour la présidence de l' ump	_
2776	le défi des parrainages une mission impossible pour tous les autres prétendants bruno le maire henri guaino ou encore nathalie kosciusko morizet tous ont été recalés le duel est donc confirmé et contesté	<eps> défi des parrainages une mission impossible pour tous les autres prétendants bruno le maire henri guaino ou encore nathalie kosciusko-morizet <eps> tous ont été recalés le duel est donc confirmée <eps> contesté	_
2777	je pense que le duel est porteur de de risques	<eps> pense que le duel est porteur de <eps> risques	_
2778	un excès de testostérone risque de stériliser le débat des idées dans cette campagne et ça serait vraiment dommage	<eps> <eps> <eps> testostérone risque de stériliser le débat des idées dans cette campagne <eps> <eps> serait vraiment dommage	_
2779	pas vraiment de débat d' idées mais un choc des personnalités pas question pour le moment de refonder l' ump ou de faire un droit d' inventaire jean françois copé ou françois fillon tous les deux se disent sarkosiste et quels que soient les sondages leur objectif est identique	<eps> vraiment de débat d' idées mais un choc des personnalités <eps> question pour le moment de refonder l' ump ou de faire un droit d' inventaire jean-françois <eps> copé ou françois fillon <eps> les deux se disent sarkozystes et quels que soient les sondages leur objectif est identique	_
2780	séduire avant tout les militants	séduire avant tout militant <eps>	_
2781	le principe c' est que c' est pas une élection de baron	<eps> principe c' est que c' est pas une élection de barons	_
2782	c' est une élection confiée aux militants c' est les militants qui vont choisir le président de l' ump et et c' est un suffrage universel direct	<eps> est une élection confier aux militants c' est les militants qui vont choisir le président de l' ump et et c' est un suffrage universel direct	_
