BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	DANS SON ÉPOUSE BERRU CEBER FEMME SOURIRE EN DIRECT JUSQU'À DIX NEUF HEURES
VOTRE VENDEUR PART EN VACANCES	VOTRE VENDEUR PAR EN BATTRE SALLE
ON S(E)	
ON SE RETROUVE DANS QUINZE JOURS LE VENDREDI À VINGT ET UN HEURES VINGT CINQ ET LE SAMEDI À DOUZE HEURES TRENTE JE SAIS QUE VOUS VOUS LES AIMEZ MES CRAVATES MERCI BEAUCOUP À TRÈS BIENTÔT ON L' ESPÈRE	SE RETROUVE DANS QUINZE ANS LE VENDREDI ABATÉ NORMALSAG ET LE SAMEDI A DOUZE HEURES TRENTE JE SAIS QUE VOUS VOULEZ AIMER MAIS TROP MERCI BEAUCOUP A TRÈS BIENTÔT POUR L ESPÈRE
JE TROUVE QUE JE TROUVE QUE BON LÀ ON N' A PAS ON N' A PAS MAL RHABILLÉ HOLLANDE POUR L' HIVER C' EST BIENTÔT LE PRINTEMPS DISONS QUAND MÊME CERTAINES CHOSES POSITIVES IL A QUAND MÊME FAIT DES CHOSES COURAGEUSES C' EST LÀ OÙ JE	IL FAUT COMMENT LA RENAPT EN N'A PAS MAL AU RABBY HOLLANDE POUR L'HIVER C'EST BIENTÔT LE PRINTEMPS D'ISOKAM CERTAINES CHOSES POSITIVES ET LÀ QUAND MÊME FAIT DES CHOSES COURAGEUX S'ÉLARGER
JE NE SUIS PAS TOUT À FAIT D' ACCORD AVEC AVEC GUILLAUME	JE SUIS PAS TOUT À FAIT D'ACCORD AVEC AVEC GUILLAUME
MAIS EN REVANCHE PAR EXEMPLE IL Y A DES ÉCHÉANCES	MIS EN REVANCHE PAR EXEMPLE Y A DES ÉCHÉANCES
OÙ NOUS SOMMES EN TRAIN DE NÉGOCIER AVEC BRUXELLES POUR SAVOIR SI L' ANNÉE PROCHAINE ENCORE NOUS DEVRONS	NOUS SOMMES EN TRAIN NÉGOCI AVEC BRUXELLES POUR SAVOIR SI L'ANNÉE PROCHAINE ENCORE NOUS DEVRONS
NOUS NOUS RESTREINDRE À DEUX VIRGULE CINQ DEUX VIRGULE HUIT TROIS POUR CENT	NOUS NOUS RESTREINDRES DE VIRE UNE CINQ VIRGULE TROIS POURCENT
DE DÉFICIT DU DU PIB PEUT ÊTRE QU' ON A PEUT ÊTRE QU' ON A FAIT ASSEZ DE RIGUEUR COMME ÇA QUE POUR RELANCER LA CROISSANCE	DE DÉFICIT DUPUIS PEUT ÊTRE QU'ON A PEUT ÊTRE QU'ON AFFAIRE IL RIGURE COMME ÇA POUR RELANCER LA CROISSANCE
IL FAUDRAIT NÉGOCIER SUR LA CROI() SUR QU' EST CE QUE C' EST LE DÉFICIT CONJONCTUREL LE DÉFICIT STRUCTUREL ET CETERA ET PAR AILLEURS JE PENSE QUELQUE CHOSE DE TRÈS INTÉRESSANT	IL FAUDRAIT NÉGOCIER SUR LA GRÂCE SUR QU EST CE QUE C EST LE DÉFICIT CONJONCTURÉ LE DÉFICIT STRUCTUREL ETC ET PAR AILLEURS JE PENSE QUELQUE CHOSE TRÈS INTÉRESSANT
C' EST QU' IL DOIT REPRENDRE LE RÉCIT DE CE QU' IL ÉTAIT EN TRAIN DE FAIRE C' EST À DIRE QUE POUR L' INSTANT	CE QUI DOIT REPRENDRE LE RÉCIT DE CE QU'IL EST EN TRAIN DE FAIRE CIRQUE POUR L'INSTANT
ON A L' IMPRESSION QU' ON NE ON NE SAIT PAS OÙ ON VA IL Y A EU UN MOMENT AU DÉBUT	ON A L'IMPRESSION QU'ON NE ON FAIT PAS BON VIN ET Y A EU UN MOMENT AU DÉBUT
MAIS LUI MÊME LE SAIT IL	ILS MÊMES LISAIENT ILS MÊMES LES ÉTUDES
OUI JE PENSE QU' IL LE ENFIN JE JE JE CROIS QU' IL PEUT ÊTRE IL LE SAIT EN TOUT CAS C' EST CE QU' IL DIT C' EST CE QUE C' EST CE QU' IL DIT À SES MINISTRES MAIS	OUI JE PENSE QU'IL CINQ JOURS JE CROIS QU'IL PEUT ÊTRE LANCÉ EN TOUT CAS CE QU'IL DIT C'EST CE QUE C'EST CE QU'IL Y A SÉBÉNISME
PEUT ÊTRE QU' IL FAUDRAIT REPRENDRE LE RÉCIT FAIRE UN GOUVERNEMENT PLUS PLUS RÉDUIT AVOIR L' IMPRESSION QU' ON EST EN EN EN EN EN EN POSITION DE BATAILLER PARCE QUE C' EST UNE VRAIE BATAILLE JE VEUX DIRE LA SITUATION EST EST GRAVE DONC	PEUT E TRE QU IL FAUDRAIT REPRENDRE LE RÉCIT FAIRE UN GOUVERNEMENT PLUS PLUS RÉDRUIT AVOIR L IMPRESSION QU EN AYANT EN POSITION DE BATAILLE PARCE QUE C EST UNE VRAIE BATAILLE JE DIRE LÀ LA SITUATION EST LÉGRAPHE
MOI JE SUIS D' ACCORD AVEC CE QUE DIT ANNE MAIS TOUT DE MÊME	JE SUIS L'ACCORD AVEC CE QU'ILIENNE MAIS TOUT DE MÊME
LE LE DIRE QU' IL A FAIT DES RÉFORMES COURAGEUSES OUI	LE LE DIRE QU'IL A FAIT DES RÉFORMES COURAGEUSES OUI
C' EST VRAI NOTAMMENT CELLE SUR LE MARCHÉ DU TRAVAIL PAR EXEMPLE	C'EST VRAI NOTAMMENT CELLE SUR LE MARCHÉ DU TRAVAIL PAR EXEMPLE
MAIS	MAIS
LE PROBLÈME C' EST QUE C' ÉTAIT PAS TOUT À FAIT CE QUI ÉTAIT ANNONCÉ EN FAIT LE LE LE GROS PROBLÈME DE HOLLANDE ET ON EN REVIENT MALHEUREUSEMENT TOUJOURS LÀ C' EST QUE	LE PROBLÈME S'EXCÉTAIT PAS DE TOUT AFFICE QU' ÉTAIT ANNONCÉ EN FAIT LE GROS PROBLÈME DE HOLLANDE ET ON EN REVIENT MALHEUREUSEMENT TOUJOURS LÀ C'EST QUE
BON D' ACCORD ON LUI DEMANDAIT PAS DE SE SUICIDER PENDANT LA CAMPAGNE ÉLECTORALE EN ANNONÇANT UNIQUEMENT DU SANG DE LA SUEUR ET DES LARMES	D'ACCORD ONT LIGNON DES PAS SE SUICIDER PENDANT LA CAMPAGNE ÉLECTORALE EN ANNONÇANT UNIQUEMENT DU SANG L'ASSURER DES LARVES
MAIS TOUT DE MÊME	MAIS TOUT DE MÊME
LE VINGT TROIS JANVIER LE VINGT TROIS PARDON LE VINGT TROIS JUIN	LE VINGT TROIS JANVIER LE VIN CRAPAR DANS LE VIN TRAJEVIN
AU LENDEMAIN DES LÉGISLATIVES C' EST LÀ QU' IL FALLAIT DIRE	AU LENDEMAIN DES LÉGISLATIVES C EST LA QUI FALLAIT DIRE
QUE IL Y ALLAIT Y AVOIR DES DES MOMENTS DIFFICILES VOIR DOULOUREUX	QUE Y ALLAIT YAVARDER DES MOMENTS DIFFICILES VOIR DOULOUREUX
OR IL NE LE FAIT QUE DIX MOIS APRÈS	OR IL NE LE FAIT QUE DIX MOIS APRÈS
DONC C' EST C' EST LÀ OU OU ANNE PARLE DE RÉCIT	DONC C'EST LÀ OU ON PARLE DE RÉCIT
MAIS MALHEUREUSEMENT	MAIS MALHEUREUSEMENT
JE JE JE PENSE PAS QUE LE RÉCIT AIT ÉTÉ	JE PENSE PAS QUE LE RÉCIT ÉTAIT TÉ
SI VOUS VOULEZ N() NOUÉ À CE MOMENT LÀ AU MOMENT OÙ IL FALLAIT	SI VOULEZ NOUER À CE MOMENT LÀ AU MOMENT OÙ IL FALLAIT IL NOUER A CE MOMENT LÀ AU MOMENT OÙ IL FALLAIT
ALORS VOUS VOUS DITES PENDANT LA CAMPAGNE DE L' ANNÉE DERNIÈRE ON LUI DEMANDAIT PAS DE SE SUICIDER EN ANNONÇANT DU SANG DE LA SUEUR ET DES LARMES	VOUS DITES PENDANT LA CAMPAGNE DE L ANNÉE DERNIÈRE LUI NE DEMANDEZ PAS DE SUICIDER EN ANNONCENT DU SANG DE LA S UR À DES LARMES
ÇA ÇA REJOINT L' A() L' ANALYSE DE BAYROU	ÇA REJOINT L ANALYSE DE BAYROU
SON LIVRE S' INTITULE DE LA VÉRITÉ EN POLITIQUE	SON LIVRE S'INTITULE DE LA VÉRITÉ EN POLITIQUE
ALORS LUI BAYROU IL VEUT FAIRE DE LA VÉRITÉ L' ALPHA ET L' OMÉGA DE LA VIE POLITIQUE	ALORS LIBRE OÙ IL VEUT FAIRE DE LA VÉRITÉ L ALPHABELOMEGA DE LA VIE POLITIQUE
SI L' ON REGARDE DIT IL LES ENGAGEMENTS MIROBOLANTS DE QUATRE VINGT UN QUATRE VINGT QUINZE	SI L ON REGARDE DIT IL LES ENGAGEMENTS MIROBOLEURS DE QUATRE VINGT QUATRE VINGT QUINZE
DEUX MILLE SEPT DEUX MILLE DOUZE ON VOIT QUE CES CAMPAGNES DE FACILITÉ	DEUX MILLE SEPT MILLE DOUZE ON VOIT QUE SES CAMPAGNES DE FACILITÉS
DÉTOURNANT L' ATTENTION DES VRAIS PROBLÈMES	DÉTOURNANT L'ATTENTION DES VRAIS PROBLÈMES
ONT ÉTÉ DE LA NON ASSISTANCE À PAYS EN DANGER	ONT ÉTÉ DE LA NON ASSISTANCE À PAYS EN DANGER
(N) TOUT CELA EST JUSTE	ALLEZ TOUT ÇAI JUSTE
LE PROBLÈME C' EST QU' EFFECTIVEMENT C' EST UN DISCOURS COMME DISAIT JÉRÔME QUI EST RÉCURRENT DONC C' EST POUR ÇA QUE	LE PROBLÈME S'EST EFFECTIVEMENT CET INDISCOS COMME LES AGIRMES QUI RÉCURRENT MAIS C'EST POUR ÇA QUE
JE TROUVE QU' ON RESSENT PRESQUE UNE ESPÈCE DE MALAISE EN VOYANT REVENIR FRANÇOIS BAYROU	JE TROUVE QU'ON RESSENT PRESQUE UNE ESPÈCE DE MALAISE EN VOYANT REVENIR FRANÇOIS BAYROU
ON L' AVAIT LAISSÉ Y A ONZE MOIS	ON AVAIT L ESSAYE À ONZE MOIS
IL NOUS DISAIT COMME J' AI ÉTÉ COURAGEUX ET QUE J' AI DIT LA VÉRITÉ JE N' AI PAS ÉTÉ ÉLU	IL NOUS DISAIT COMME J'AI ÉTÉ COURAGEUX ET QUE J'AI DIT LA VÉRITÉ JE N'AI PAS ÉTÉ ÉLU
ET ONZE MOIS PLUS TARD	ET ONZE MOIS PLUS TARD
IL EST TOUJOURS EN TRAIN DE TOURNER EN ROND DANS LA COUR DE LA CASERNE IL NOUS DIT (H) VOUS AVEZ VU J' AI ÉTÉ COURAGEUX DONC FORCÉMENT JE J' AI PAS ÉTÉ ÉLU	IL EST TOUJOURS EN TRAIN DE TOURNER EN RONDE DANS LA COUR DE LA CASERNE INDIBA VOUS AVEZ VU J'AI ÉTÉ COURAGEUX DONC FORCÉMENT JE N'AI PAS ÉTÉ ÉLUE
ET C' EST VRAI LE PROBLÈME C' EST QUE BON ON A ENVIE DE LUI DIRE	ET C EST VRAI LE PROBLÈME C EST QUE BON ON A ENVIE DE DIRE
SO WHAT ET C' EST UNE L' ÉCHEC N' EST PAS PAS UN BUT EN SOI QUAND ON FAIT DE LA POLITIQUE DONC IL FAUT NON MAIS IL ME SEMBLE ET CE QUE JE DIS EST SANS IRONIE PARCE QUE J' AI BEAUCOUP D' ADMIRATION EN TOUT CAS POUR LES LE LE PROGRAMME ÉCONOMIQUE DE BAYROU SUR LE	SOWAT EST CE QU'UNE VEUVE L'ÉCHEC N'EST PAS UN BUT EN SOI QU'ON FAIT DE LA POLITIQUE DONT QUE IBO Y ME SEMBLE L'ÉCHEC N'EST PAS UN BUT EN SOI QU'ON FAIT DE LA POLITIQUE DONT QUE IBO Y ME SEMBLE L'ÉCHEC N'EST PAS UN BUT EN SOI QU'ON FAIT DE LA POLITIQUE DONT QUE IBO Y ME SEMBLE L'ÉCHEC N'EST PAS UN BUT EN SOI QU'ON FAIT DE LA POLITIQUE DONT QUE IBO Y ME SEMBLE L'ÉCHEC N'EST PAS UN BUT EN SOI QU'ON FAIT DE LA POLITIQUE DONT QUE IBO Y ME SEMBLE L'ÉCHEC N'EST PAS UN BUT EN SOI QU'ON FAIT DE LA POLITIQUE DONT QUE IBO Y ME SEMBLE L'ÉCHEC N'EST PAS UN BUT EN SOI QU'ON FAIT DE LA POLITIQUE DONT QUE IBO Y ME SEMBLE L'ÉCHEC N'EST PAS UN BUT EN SOI QU'ON FAIT DE LA POLITIQUE DONT QUE I
SUR LES SUJETS DE SOCIÉTÉ JE PENSE QUE LÀ POUR LE COUP C' ÉTAIT UN VRAI CENTRISTE ET ET QU' IL A PAS VU LA GRAVITÉ DE LA SITUATION MAIS JE REFERME LA PARENTHÈSE MAIS IL NE TIRE PAS LES CONSÉQUENCES DE TOUT CELA À AUCUN MOMENT IL NE SE DIT	SUR LES SUFFETS DE SOCIÉTÉS JE PENSE QUE LÀ POUR LE CONSTAT VRAI CENTRISTE ET QUI N'A PAS VU LA GRAVITÉ LA SITUATION MAIS JE REVIENS L'APPARENTÉ MAIS IL NE TIRE PAS LES CONSÉQUENCES TOUT CELA À AUCUN MOMENT IL NE SE DIT
ET BIEN C' EST PARCE QUE LA CINQUIÈME RÉPUBLIQUE ÉTANT CE QU' ELLE EST JE N' AI PAS CHOISI LA BONNE STRATÉGIE DONC TOUT ÇA NE NOUS MÈNE EN FAIT NULLE PART ET	EH BIEN C EST PARCE QUE LE SYSTÈME PUBLIC EST EN SQUELET JE N AI PAS CHOISI LA BONNE STRATÉGIE DONT QUE STOUSSANE NE NOUS EN FAIT NULLE PART
IL SE COMPARE À DE GAULLE ASSEZ VOLONTIERS OU À PLUTÔT À MENDES FRANCE ET À MAIS À UN MOMENT IL DIT	IL SE COMPARE À DE GAULLE ASSEZ VOLONTIERS OU ALLEMANDS DES POUTOIRS MADE FRANCÉ À BAR MAIS UN MOMENT EST DIEU
DE GAULLE EST UN MODÈLE C' EST VRAI MAIS	DE GAULLE EST UN MODÈLE S'EST VRAIMENT
IL Y AVAIT AUSSI CHEZ DE GAULLE	IL Y AVAIT AUSSI CHEZ DE GAULLE
DU CALCUL QUAND DE GAULLE REVIENT AU POUVOIR	DU CALCUL COMTE DE GAULLE REVIENT AU POUVOIR
DE UNE PARTIE DES FRANÇAIS CROIT QUE C' EST POUR SAUVER L' ALGÉRIE FRANÇAISE ET IL FAIT LE CONTRAIRE DONC	UNE PARTIE DES FRANÇAIS CROIENT QUE C'EST POUR SAUVER L'ALGÉRIE FRANÇAISE ET IL FAIT LE CONTRAIRE DONC
ÇA VEUT DIRE QUE DE GAULLE N' A PAS TOUJOURS DIT LA VÉRITÉ ÇA VEUT DIRE QUE	ÇA BUT À QUOI DE GAULLE N'A PAS TOUJOURS DIT LA VÉRITÉ ÇA VEUT DIRE QUE
QUAND ON FAIT DE LA POLITIQUE IL FAUT AUSSI ACCEPTER LA TACTIQUE ET ON A L' IMPRESSION QUE BAYROU	QUAND ON FAIT DE LA POLITIQUE IL FAUT AUSSI ACCEPTER LA TACTIQUE ET DANS L'IMPRESSION QUE BAYROU
EST CE QUE C' EST PAR EST CE QUE C' EST PAR UNE FORME DE D' ORGUEIL INTELLECTUEL	EST CE QUE CES PARENTS EST CE QUE C EST PAR UNE FORME DE D ORGUEIL INTELLECTUEL
OU PARCE QUE IL N' ARRI(VE) IL PEUT PAS FAIRE AUTREMENT QUE LA STRATÉGIE QUI SUIT NE VEUT PAS FAIRE ÇA ET ET DU COUP C' EST UN VRAI GÂCHIS	OU PARSQUE IL N'ARRIE ET PEUT FAIRE AUTREMENT LA STRATÉGIE QUI SUIT DEVENA FATIEN ET DU COU C'EST UN VRAI GACHI
MAIS LÀ VOUS DISIEZ TOUT À L' HEURE AVEC TRENTE ET UN POUR CENT DE DE CÔTE DE POPULARITÉ HOLLANDE (N) IL DEVRAIT Y ALLER FRANCHEMENT	MAIS LÀ VOUS DISAIT TOUT À L'HEURE AVEC TRENTE ET UN POURCENT DE CODE POPULARITÉ AUX LONGUES ET DEVRIA LES FRANCHEMENTS
EST CE QUE ÇA REJOINT CE QUE CE QUE DIT BAYROU ON NOUS ANNONCE UNE ÉMISSION DE TÉLÉ LÀ DANS LES JOURS À VENIR	EST CE QUE ET ÇA REJOINT CE QUE CE QUE DI BAYRON NOUS ANNONCE UNE AMISSANTE TÉLÉ LÀ DANS LES JOURS À VENIR
DE DE DE FRANÇOIS HOLLANDE QUI VA ESSAYER DE REPRENDRE LA MAIN EST CE QU' IL DOIT PAS PROFITER DE CETTE DE CETTE ÉMISSION POUR DIRE DES CHOSES DURES QUITTE À ÊTRE IMPOPULAIRE	DE DE FRANÇOIS LAND QUI VA SAIT DE REPRENDRE LA MAIN EST CE QUI DOIT PAS PROFITER TOUTE CETTE ÉMISSION POUR DIRE DES CHARIOTES VIATURES QUITTE À ÊTRE UN POPULAIRE
ALORS JE PENSE QU' EFFECTIVEMENT JE PENSE QUE FRANÇOIS HOLLANDE	ALORS JE PENSE QU EFFECTIVEMENT JE PENSE QUE FRANÇOIS LAND
S() SAIT QUE ÇA VA ÊTRE DUR	C EST QUE ÇA VA ÊTRE DURE
ENSUITE EST CE QU' IL VA POUVOIR VIOLER SON CARACTÈRE PROFOND	ENSUITE ESQUIV ARROUVA VIOLEZ SON CARACTÈRE PROFOND
POUR ALLER TOUT DROIT DANS LA DIRECTION ANNONCÉE OU EST CE QU' IL VA CONTINUER À TIRER DES BORDS	POUR ALLER TOUT DROIT DANS LA DIRECTION ANNONCÉE OÙES QUI VA CONTINUER À TIRER DES BORDS
SON CARACTÈRE LE FAIT TIRER DES BORDS C' EST À DIRE JE DONNE UN PETIT D' UN CÔTÉ PUIS DE L' AUTRE	SON CARACTÈRE LE FAIT TIRER DES BORDS C EST À DIRE JE DONNE UN TYPE D'UN CÔTÉ PUIS ABSORBANT PRÈS DE L'AUTRE
JE ME DÉVOILE LE PLUS TARD POSSIBLE C' EST UN ON A L' IMPRESSION QU' IL A ÉTÉ	JE ME DÉVOILE LE PLUS TARD POSSIBLE C'ÉTANT EN ARPRESSION QU'IL A ÉTÉ EUX
PROGRAMMÉ POUR ÇA DE DE PAR CES LONGUES ANNÉES AU PARTI SOCIALISTE ET	PROGRAMMÉE POUR ÇA DE PAR SES LONGUES ANNÉES AU PARTI SOCIALISTE ET
ALORS QUE LE LES FRANÇAIS AUJOURD'HUI NE COMPRENNENT PLUS C' EST DEVENU ILLISIBLE CETTE OFFRE POLITIQUE	ALORS QUE LES FRANÇAIS AUJOURD'HUI NE COMPRENNENT PLUS C EST DEVENU ILLUSIBLE CETTE OFFRE POLITIQUE
LE PROBLÈME POUR FRANÇOIS HOLLANDE C' EST QUE ARRÊTER DE TIRER DES BORDS POUR FONCER VERS L' OBJECTIF C' EST EXACTEMENT CE QU' IL REPROCHAIT À NICOLAS SARKOZY DONC C' EST ASSEZ COMPLIQUÉ QUAND MÊME DE DIRE FINALEMENT CE QUE J' AI FUSTIGÉ ET CRITIQUÉ PENDANT CINQ ANS C' EST PAS SI MAL À PREUVE JE VAIS EN PRENDRE	C'EST QUE ARRÊTAIT DE TIRER DES BORDS POUR FONCÉ VERS L'OBJECTIF C'EST EXACTEMENT CE QUI REPROCHAIT À NICOLAS SARKOZY DONT CET ASSEZ COMPLIQUÉ QUAND MÊME DE DIRE FINALEMENT CE QUE J'AI FUSTIGÉ ET CRITIQUÉ PENDANT CINQUANTS C'EST PASSIMAL À PREUVES JOUÉ EN
IL QUAND MÊME CE QU' IL FAIT (N) PARCE QUE SUR LES RETRAITES PARDON MAIS L' ÂGE LÉGAL ÉTAIT UN TABOU ABSOLU ABSOLU À GAUCHE ET LÀ	LES PROGRAMMES SKIFFÉENS PASSAIENT SUR LES RETRAITS D'H PARDON MAIS LE VOLAGE LÉGAL ÉTAIT UN TABOU ABSOLU OU ABSOLU À GAUCHE C'EST LÀ
IL EST PAS ENCORE TOMBÉ IL IL VACILLE IL VACILLE MAIS IL EST PAS ENCORE SUR LE POINT DE TOMBER	IL EST PAS ENCORE TOMBÉ ÎLE YVACY L'AMBASSA
HENRI EMMANUELLI DIRE QUE ON VA DEVOIR TRAVAILLER PLUS TARD	HENRY MANUELLI DICKEOVADORE PLUS TARD OU DÉNONCÉ
QUAND MÊME IL A DIT QUE CE QU' ON AVAIT ENTENDU ET PAS CE QU' IL AVAIT DIT MAIS MAIS QUAND MÊME ON L' A ENTENDU	IL A DIT QUE SON AVAIT ENTENDU PARCE QU'IL AVAIT DIT
POUR REVENIR JUSTE SUR L' INTERVENTION DE DE DE FRANÇOIS HOLLANDE	SUR L INTERVENTION DE DE FRANCE HOLLANDE
L' INTERVENTION À VENIR	L'INTERVENTION À VENIR
À VENIR ABSOLUMENT	AVENIR CET ÉLÉMENT
CE QUI EST UN PEU ENNUYEUX C' EST QUE ON A L' IMPRESSION	CE QUI A PEUR ENNUYEUX C EST QUE EN A L IMPRESSION
QU' ELLE EST PROGRAMMÉE CETTE INTERVENTION UN PEU SOUS LA PRESSION	QUELLE EST PROGRAMMÉE CETTE INTERVENTION UN PEU SOUS LA PRESSION
CE QUI CE QUI EUT ÉTÉ	SKI SKI EÛT ÉTÉ
BEAUCOUP MIEUX TOUT DE MÊME C' ÉTAIT DE PRÉCÉDER	BEAUCOUP MIEUX TOUT DE MÊME C'ÉTAIT DE PRÉCÉDER
DE DE SENTIR QUE ÇA FAIT MAINTENANT PARCE QUE EN PLUS	DE DE SENTIR QUE ÇA FAIT MAINTENSQUE EN PLUS
JE VEUX DIRE ÇA FAIT PAS TROIS JOURS NI MÊME TROIS SEMAINES QUE IL Y A UNE GROSSE INTERROGATION CHEZ LES FRANÇAIS ÇA FAIT PLUSIEURS MOIS ET DONC	JE DIRE ÇA FAIT PAS TROIS JOURS NI MÊME TROIS SEMAINES QUE Y A UNE GROSSE INTERROGATION CHEZ LES FRANÇAIS S'APPELLE PLUSIEURS MOIS ET DONC
JE PENSE QU' IL EUT ÉTÉ MEILLEUR POUR LUI QU' IL PRÉCÈDE LE MOUVEMENT ET QU' IL PARLE AUX FRANÇAIS PEUT ÊTRE LE MOIS DERNIER DÉJÀ OU EN JANVIER VOILÀ	JE PENSE QU'IL EÛT ÉTÉ MEILLEUR POUR LUI QU'IL PRÉCÈDE LE MOUVEMENT ET QU'IL PARLE FRANÇAIS PEUT ÊTRE LE MOIS DERNIER DÉJÀ OU EN JANVIER MOI
ET JE SUIS D' ACCORD QUE C' EST UN PEU IRRITANT CE SON	IL SUIT D'ACCORDS C'EST UN PEU HÉRITANT CE SONT
SA VOLONTÉ DE METTRE TOUJOURS CETTE VÉRITÉ DE FAÇON ASSEZ NAÏVE EN PLUS IL A UN PEU IL A UN PEU DE RETARD PARCE QU' IL DIT IL EST TEMPS DE DIRE LA VÉRITÉ SUR L' ÉTAT CATASTROPHIQUE DE LA FRANCE	SA VOLONTÉ MET TOUJOURS CETTE VÉRITÉ FAÇON À SES NAÏVES EN PLUS IL UN PEU IL UN PEU DE RETARD PARCE QU IL Y EUT IL ÉTENDIR LA VÉRITÉ SUR L ÉTAT CATASTROPHIQUE DE LA FRANCE
JE PENSE QUE MAINTENANT IL Y A PLUS UN FRANÇAIS QUI IGNORE À QUEL POINT ÇA VA MAL À QUEL POINT LA DETTE À QUEL POINT LE CHÔMAGE ETCEVENT DESC=ET CETERA TYPE=PRONOUNCE EXTENT=PREVIOUS/> DONC IL UN PETIT CÔTÉ D' ACCORD C' EST PEUT ÊTRE LUI QUI L' A DIT EN PREMIER MAIS MAINTENANT TOUT LE MONDE LE SAIT DONC ON ON NE MENT PLUS LÀ DESSUS MAIS EN REVANCHE CE QUI EST INTÉRESSANT	LORSQUE MAINTENANT IL Y A PU EN FRANÇAIS QU IGNORE À QUELPOINT ÇA VA MAL À QUEL POINT LA DATE À QUEL POINT LE CHÔMAGE ETC DONC IL A AINSI CÔTÉ D'ACCORD SES TÊTES LUI QUI L'A DIT EN PREMIER MAINTENANT TOUT LE MONDE DE SCÈNE ON N'ONT PLUS L'ASSU MIS ENVOYÉ D'INTÉRESSANTS
C' EST QUE Y Y IL S' EN PREND AU CYNISME ET ÇA JE TROUVE ÇA TRÈS TRÈS FRAIS	C EST QUE Y IL S EN PREND AU CYNISME ET SA CHANSA TRÈS FRAIS
D' ALLER À L' ENCONTRE DE DE DE DE CE DE CE CETTE TENDANCE LÀ QU' ON LES POLITIQUES IL DIT ATTENTION	D'ALLER À L'ENCONTRE DE DE CEUX DE CE FAIT TENDANCE LÀ QU'ON LES POLITIQUES IL Y ATTENTION
LES ENNEMIS DE LA DÉMOCRATIE CE NE SONT PAS QUE LES TYRANS	LES ENNEMIS LES DÉMO DE LA DÉMOCRATIE SE SONT PAS QUE LES TYRANS
CE SONT AUSSI LES GOUVERNANTS ORDINAIRES ORDINAIREMENT CYNIQUES DIT IL	CE SONT AUSSI LES GOUVERNEMENTS ORDINAIRES ORDINAIREMENT CYNIQUES DIT IL
QUI PENSENT QU' IL FAUT CHOISIR POUR LES POUR LA POPULATION OBTUE POUR LES PEUPLES OBTUS	QUI PENSE QU'ILS FONT CHOISIR POUR LES POUR LA POPULATION OBSTU POUR LES PEUPLES OBTU
ET QU' EN FAIT FINALEMENT IL FAUT CONFISQUER PARCE QUE	ET QU ON FAIT FINALEMENT IL FAUT CONFISQUER PARCE QUE
EN GROS (H) LES PEUPLES NE SERAIENT PAS ASSEZ INTELLIGENTS EUX MÊMES ET ET ET ÇA JE TROUVE QUE C' EST TRÈS INTÉRESSANT PARCE QUE	EN GROS BAS LES PEU NE SERAIENT PAS ASSEZ INTELLIGENTS EUX MÊMES ET ILS S ACHERONT QUE C EST TRÈS INTÉRESSANT PARCE QUE
LA FIN DU DU DU MANDAT DE NICOLAS SARKOZY A FAIT BEAUCOUP DE MAL LÀ DESSUS Y AVAIT UNE ESPÈCE DE DÉFIANCE	LA FIN DU DU MANDAT NICOLAS SARKOZY A FAIT BEAUCOUP DE MÂLES SUIVENT UNE ESPÈCE DE DÉFIANCE
ENVERS LES FRANÇAIS COMME SI ON ÉTAIT ON ÉTAIT DES DES IMMATURES OU DES OU DES ENFANTS GÂTÉS OU DES RÂLEURS TOUT LE TEMPS ET UNE DÉFIANCE ENVERS LE GÉNIE FRANÇAIS QU' IL FAUT ARRÊTER ENFIN ET JE TROUVE QUE C' EST EN CELA LE DISCOURS DE BAYROU EST INTÉRESSANT	ENVERS LES FRANÇAIS COMME SI ON ÉTAIT EN ÉTAIT DES IMMATURES OU DES OU DES ENFANTS GÂTÉS OU DES RALHEURS TOUT LE TEMPS ET UNE DÉFIANCE ENVERS LE GÉNIE FRANÇAIS QU'IL FAUT ARRÊTER FIN VIE ET JE TROUVE QUE ÇA EN CELA LE DISQUE DE BAYRO EST INTÉGRÉS
POUR LE NOUVEL OBSERVATEUR LE LIVRE DE BAYROU EST UN APPEL DU PIED À À FRANÇOIS HOLLANDE	POUR LE NOUVEL OBSERVATEUR LE LIVRE DE BAYROU EST UN APPEL DU PIED À FRANÇOIS HOLLANDE
POUR QU' IL CONSTITUE UNE MAJORITÉ RÉFORMISTE DONT LUI MÊME BAYROU FERAIT PARTIE	POUR QU'IL CONSTITUE UNE MAJORITÉ RÉFORMISTE DONT LUI MÊME BAILLEROT FERAIT PARTIE
PUISQU' ELLE IRAIT DU CENTRE GAUCHE AU AU CENTRE DROIT	PUISQU'ELLE IRAIT DU CENTRE GAUCHE AU CENTRE DROIT
TRÈS RAPIDEMENT COMME ÇA GUILLAUME VOUS VOYEZ UN JOUR BAYROU REJOINDRE HOLLANDE LÀ AVANT DEUX MILLE DIX SEPT	TRÈS RAPIDEMENT COMME ÇA DE GUILLAUME VOUS VOYEZ UN JOUR BAILLERON REJOINDRE HOLLANDE À AVOIR DEUX MILLE DIX SEPT
